,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
3526,Kitty1024,2019-01-01,PreCovid,3,3.0,"[[room, small, 0], [room, right, 0], [room, great, 0]]",,3.0,,,0.2785714285714286,,,,,
3527,Ananth 727499,2018-04-01,PreCovid,3,5.0,"[[hotel, singapor, 1], [room, 'also avail', 0], [place, local, 1], [floor, fourth, 0]]",2.0,2.0,,0.0,0.0,,,,,
3528,Watch This,2019-01-01,PreCovid,3,3.0,"[[bed, dble, 0], [bathroom, small, 0]]",,2.0,,,-0.125,,,,,
3529,MissEe,2018-11-01,PreCovid,3,4.0,"[[stay, clean, 1], [stay, 'super clean', 1], [room, superior, 0], [room, twin, 0], [room, small, 0], [friendli, super, 1], [floor, first, 0]]",3.0,4.0,,0.35000000000000003,0.175,,,,,
3530,Harin M,2018-12-01,PreCovid,3,4.0,"[[staff, genuin, 1]]",1.0,,,0.0,,,,,,
3531,DuchessofNewTown,2018-04-01,PreCovid,3,5.0,"[[room, small, 0], [pool, great, 4], [room, singapor, 0], [room, new, 0], [day, outdoor, 2], [day, last, 2]]",,3.0,,,-0.03787878787878788,,2.0,0.0,1.0,0.8
3532,RAJ M,2019-01-01,PreCovid,3,4.0,"[[room, pleasant, 0]]",,1.0,,,0.7333333333333333,,,,,
3533,Sukma Ari,2019-01-01,PreCovid,3,5.0,"[[time, pleasant, 2], [room, small, 0]]",,1.0,,,-0.25,,1.0,0.7333333333333333,,
3534,Promod KUMAR Sharma,2019-01-01,PreCovid,3,5.0,"[[help, nice, 1]]",1.0,,,0.6,,,,,,
3535,Jain,2019-01-01,PreCovid,3,5.0,"[[breakfast, sad, 4], [breakfast, due, 4], [food, indian, 1], [stay, nice, 1]]",2.0,,,0.3,,,,,2.0,-0.3125
3536,Satbir Singh,2019-01-01,PreCovid,3,5.0,[],,,,,,,,,,
3537,Ning's Thai Cooking Class in Khao Lak,2018-10-01,PreCovid,3,5.0,"[[hotel, perfect, 1], [hotel, nice, 1]]",2.0,,,0.8,,,,,,
3538,Viv Adram,2018-12-01,PreCovid,3,4.0,"[[staff, unattend, 1]]",1.0,,,0.0,,,,,,
3539,J_R,2019-01-01,PreCovid,3,4.0,"[[room, standard, 0]]",,1.0,,,0.0,,,,,
3540,JayDavejj,2019-01-01,PreCovid,3,5.0,"[[friendli, great, 1], [friendli, experi, 1], [friendli, nice, 1]]",3.0,,,0.4666666666666666,,,,,,
3541,Timothy N,2019-01-01,PreCovid,3,5.0,"[[room, clean, 0]]",,1.0,,,0.3666666666666667,,,,,
3542,Abraham,2019-01-01,PreCovid,3,5.0,"[[staff, nice, 1], [room, good, 0]]",1.0,1.0,,0.6,0.7,,,,,
3543,bhoslemadjavj40@gmail.com,2019-01-01,PreCovid,3,5.0,"[[singapor, first, 1], [singapor, famili, 1]]",2.0,,,0.125,,,,,,
3544,Anand charatkar,2019-01-01,PreCovid,3,5.0,"[[hotel, good, 1], [stay, good, 1], [stay, good, 1]]",3.0,,,0.6999999999999998,,,,,,
3545,Vikas Asthana,2019-01-01,PreCovid,3,5.0,"[[help, great, 1], [day, free, 2]]",1.0,,,0.8,,,1.0,0.4,,
3546,Bunkyard,2019-01-01,PreCovid,3,5.0,[],,,,,,,,,,
3547,Francis C,2018-12-01,PreCovid,3,5.0,"[[staff, good, 1], [room, pleasant, 0], [check, earli, 2], [taxi, less, 3]]",1.0,1.0,1.0,0.7,0.7333333333333333,-0.16666666666666666,1.0,0.0,,
3548,sri_jc,2018-12-01,PreCovid,3,4.0,[],,,,,,,,,,
3549,Yiwei,2018-12-01,PreCovid,3,4.0,"[[hotel, great, 1]]",1.0,,,0.8,,,,,,
3550,Nasir Sayyed,2019-01-01,PreCovid,3,4.0,"[[time, good, 2], [room, good, 0], [help, sim, 1], [help, nice, 1]]",2.0,1.0,,0.3,0.7,,1.0,0.7,,
3551,Imran,2019-01-01,PreCovid,3,5.0,"[[room, small, 0], [time, everi, 2]]",,1.0,,,-0.25,,1.0,0.0,,
3552,JK Wong,2019-01-01,PreCovid,3,3.0,"[[check, fast, 2], [size, big, 0]]",,1.0,,,0.0,,1.0,0.2,,
3553,Sajid,2018-12-01,PreCovid,3,4.0,"[[room, standard, 0], [bathroom, small, 0], [staff, good, 1], [thank, special, 3], [room, alloc, 0], [check, late, 2]]",1.0,3.0,1.0,0.7,-0.08333333333333333,0.35714285714285715,1.0,-0.3,,
3554,TrotterLP,2018-12-01,PreCovid,3,3.0,"[[room, small, 0], [day, singapor, 2], [place, small, 1], [staff, nice, 1]]",2.0,1.0,,0.175,-0.25,,1.0,0.0,,
3555,Pradeep Y,2018-12-01,PreCovid,3,5.0,"[[day, everi, 2], [breakfast, good, 4], [check, nice, 2], [check, basic, 2]]",,,,,,,3.0,0.19999999999999998,1.0,0.7
3556,Lucky varshney,2019-01-01,PreCovid,3,5.0,"[[room, better, 0], [room, servic, 0]]",,2.0,,,0.25,,,,,
3557,Saket,2018-12-01,PreCovid,3,4.0,"[[pool, improv, 4], [pool, swim, 4], [floor, good, 0]]",,1.0,,,0.7,,,,2.0,0.0
3558,Shaileshak,2018-12-01,PreCovid,3,4.0,"[[hotel, decent, 1], [breakfast, great, 4]]",1.0,,,0.16666666666666666,,,,,1.0,0.8
3559,nessybear1,2018-12-01,PreCovid,3,4.0,"[[pool, great, 4], [check, close, 2], [floor, easi, 0], [size, common, 0], [room, 'blind made', 0], [night, dark, 4], [size, good, 0], [room, good, 0], [room, temperatur, 0], [breakfast, complex, 4], [food, nice, 1], [friendli, great, 1], [room, light, 0], [breakfast, brighter, 4]]",2.0,7.0,,0.7,0.14285714285714285,,1.0,0.0,4.0,0.08750000000000001
3560,Amit,2018-12-01,PreCovid,3,1.0,"[[room, small, 0], [room, good, 0], [room, good, 0], [room, good, 0], [food, indian, 1]]",1.0,4.0,,0.0,0.46249999999999997,,,,,
3561,OleFA,2019-01-01,PreCovid,3,3.0,"[[room, famili, 0], [room, small, 0]]",,2.0,,,-0.125,,,,,
3562,Line Lin,2019-01-01,PreCovid,3,1.0,"[[book, third, 2], [book, 'also third', 2]]",,,,,,,2.0,0.0,,
3563,Abhijeet D'Britto,2019-01-01,PreCovid,3,5.0,"[[room, 'satisfi given', 0], [room, best, 0]]",,2.0,,,0.5,,,,,
3564,Jbarts,2019-01-01,PreCovid,3,5.0,"[[staff, good, 1], [breakfast, good, 4], [time, next, 2], [place, good, 1]]",2.0,,,0.7,,,1.0,0.0,1.0,0.7
3565,Bhavna M,2018-12-01,PreCovid,3,1.0,"[[hotel, bitter, 1], [hotel, experi, 1]]",2.0,,,-0.05,,,,,,
3566,Satisfied Kustomer,2018-12-01,PreCovid,3,5.0,"[[staff, good, 1], [staff, good, 1], [room, soundproof, 0], [room, insid, 0]]",2.0,2.0,,0.7,0.0,,,,,
3567,Niranjan D,2018-12-01,PreCovid,3,2.0,"[[room, live, 0]]",,1.0,,,0.13636363636363635,,,,,
3568,Ranbir,2018-12-01,PreCovid,3,4.0,"[[room, good, 0]]",,1.0,,,0.7,,,,,
3569,Dufloo,2018-12-01,PreCovid,3,5.0,"[[food, small, 1], [time, worth, 2]]",1.0,,,-0.25,,,1.0,0.3,,
3570,Ibrahim M,2018-10-01,PreCovid,3,4.0,"[[room, nice, 0], [hotel, close, 1], [pool, big, 4], [pool, swim, 4]]",1.0,1.0,,0.0,0.6,,,,2.0,0.0
3571,prabhu k,2018-12-01,PreCovid,3,5.0,"[[help, good, 1], [food, decent, 1], [breakfast, bad, 4]]",2.0,,,0.4333333333333333,,,,,1.0,-0.6999999999999998
3572,Ayan,2018-12-01,PreCovid,3,5.0,"[[room, super, 0], [room, fast, 0]]",,2.0,,,0.26666666666666666,,,,,
3573,Karan Indrawat,2018-12-01,PreCovid,3,1.0,"[[hotel, good, 1], [hotel, vegitarian, 1], [food, decent, 1], [breakfast, bad, 4]]",3.0,,,0.28888888888888886,,,,,1.0,-0.6999999999999998
3574,Chirag jain,2018-12-01,PreCovid,3,1.0,"[[breakfast, decent, 4]]",,,,,,,,,1.0,0.16666666666666666
3575,Firoj,2018-12-01,PreCovid,3,5.0,"[[room, singapor, 0], [room, singapor, 0], [food, good, 1], [pool, swim, 4], [floor, fourth, 0]]",1.0,3.0,,0.7,0.0,,,,1.0,0.0
3576,bahualraju,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3577,Koteswar Rao R,2018-12-01,PreCovid,3,4.0,"[[room, nice, 0], [room, smaller, 0], [hotel, central, 1]]",1.0,2.0,,0.0,0.3,,,,,
3578,Govindaraju gv,2018-12-01,PreCovid,3,5.0,"[[time, good, 2]]",,,,,,,1.0,0.7,,
3579,Rakesh V,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3580,Paul,2018-12-01,PreCovid,3,4.0,"[[hotel, great, 1], [hotel, great, 1]]",2.0,,,0.8,,,,,,
3581,John Tan,2018-12-01,PreCovid,3,5.0,"[[stay, great, 1], [hotel, good, 1], [hotel, great, 1]]",3.0,,,0.7666666666666666,,,,,,
3582,dianef862,2018-12-01,PreCovid,3,5.0,"[[servic, much, 1], [servic, superb, 1]]",2.0,,,0.6,,,,,,
3583,Sayan,2018-12-01,PreCovid,3,5.0,"[[hotel, best, 1], [time, good, 2], [breakfast, bigger, 4]]",1.0,,,1.0,,,1.0,0.7,1.0,0.0
3584,Nitesh Sharma,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3585,Jrgor,2018-12-01,PreCovid,3,5.0,"[[room, singapor, 0], [room, good, 0], [room, compact, 0], [pool, good, 4]]",,3.0,,,0.2333333333333333,,,,1.0,0.7
3586,sufal,2018-12-01,PreCovid,3,4.0,"[[room, nice, 0], [pool, choic, 4]]",,1.0,,,0.6,,,,1.0,0.0
3587,Kiran,2018-12-01,PreCovid,3,5.0,"[[staff, nice, 1], [staff, 'everyth nice', 1], [friendli, nice, 1], [room, good, 0], [stay, good, 1]]",4.0,1.0,,0.625,0.7,,,,,
3588,Faa,2018-12-01,PreCovid,3,5.0,"[[room, total, 0], [room, neat, 0], [time, worth, 2]]",,2.0,,,0.0,,1.0,0.3,,
3589,Mary Teoh,2018-10-01,PreCovid,3,4.0,"[[hotel, singapor, 1]]",1.0,,,0.0,,,,,,
3590,Rizan A,2018-12-01,PreCovid,3,3.0,"[[day, next, 2]]",,,,,,,1.0,0.0,,
3591,MARK JERSON,2018-12-01,PreCovid,3,5.0,"[[day, good, 2]]",,,,,,,1.0,0.7,,
3592,Rohit,2018-12-01,PreCovid,3,5.0,"[[love, singapor, 3], [stay, great, 1], [breakfast, good, 4]]",1.0,,1.0,0.8,,0.5,,,1.0,0.7
3593,Ruth H,2018-12-01,PreCovid,3,4.0,"[[pool, nice, 4], [hotel, good, 1], [hotel, solid, 1], [place, good, 1], [time, sever, 2]]",3.0,,,0.4666666666666666,,,1.0,0.0,1.0,0.6
3594,Albert Feliciano,2018-12-01,PreCovid,3,4.0,"[[staff, good, 1]]",1.0,,,0.7,,,,,,
3595,Farhshif24,2018-12-01,PreCovid,3,5.0,"[[place, 'first hotel', 1], [place, 'far favorit', 1]]",2.0,,,0.175,,,,,,
3596,Sonu Kumar,2018-12-01,PreCovid,3,5.0,"[[pool, good, 4], [pool, swim, 4], [pool, nice, 4], [room, much, 0], [size, good, 0]]",,2.0,,,0.44999999999999996,,,,3.0,0.4333333333333333
3597,Raul E.,2018-12-01,PreCovid,3,5.0,"[[room, 'amaz given', 0]]",,1.0,,,0.0,,,,,
3598,Abhijeet H,2018-01-01,PreCovid,3,4.0,[],,,,,,,,,,
3599,Prashanth Elapakurti,2018-12-01,PreCovid,3,5.0,"[[time, right, 2], [hotel, experi, 1]]",1.0,,,0.0,,,1.0,0.2857142857142857,,
3600,M.H.Cadersa,2018-12-01,PreCovid,3,5.0,"[[stay, recent, 1], [staff, clean, 1]]",2.0,,,0.18333333333333335,,,,,,
3601,Satish,2018-12-01,PreCovid,3,5.0,"[[day, next, 2]]",,,,,,,1.0,0.0,,
3602,Asif M,2018-12-01,PreCovid,3,4.0,[],,,,,,,,,,
3603,Cal_Mariko,2018-12-01,PreCovid,3,3.0,"[[comfort, basic, 1], [room, common, 0], [room, basic, 0], [room, much, 0], [floor, everi, 0], [floor, 'also conveni', 0], [book, first, 2]]",1.0,5.0,,0.0,-0.019999999999999997,,1.0,0.25,,
3604,desmond2412,2018-06-01,PreCovid,3,5.0,"[[room, good, 0]]",,1.0,,,0.7,,,,,
3605,Nay S,2018-12-01,PreCovid,3,5.0,"[[time, next, 2]]",,,,,,,1.0,0.0,,
3606,sasha302017,2018-12-01,PreCovid,3,1.0,"[[place, best, 1], [room, clean, 0], [food, minor, 1]]",2.0,1.0,,0.475,0.3666666666666667,,,,,
3607,manuj314,2018-11-01,PreCovid,3,4.0,"[[hotel, nice, 1], [hotel, good, 1], [stay, singapor, 1], [staff, nice, 1], [room, good, 0], [hotel, singapor, 1]]",5.0,1.0,,0.38,0.7,,,,,
3608,andz,2018-12-01,PreCovid,3,4.0,"[[staff, good, 1], [place, orient, 1]]",2.0,,,0.35,,,,,,
3609,Nadya H,2018-12-01,PreCovid,3,4.0,"[[servic, good, 1]]",1.0,,,0.7,,,,,,
3610,Dennis_Khor,2018-12-01,PreCovid,3,4.0,[],,,,,,,,,,
3611,Aayush Kapoor,2018-12-01,PreCovid,3,5.0,"[[time, less, 2]]",,,,,,,1.0,-0.16666666666666666,,
3612,Zack Yong,2018-12-01,PreCovid,3,5.0,"[[time, first, 2], [room, warm, 0]]",,1.0,,,0.6,,1.0,0.25,,
3613,Jignesh Kamani,2018-12-01,PreCovid,3,1.0,"[[room, small, 0], [hotel, virtual, 1], [hotel, servic, 1], [place, small, 1], [size, bad, 0]]",3.0,2.0,,-0.08333333333333333,-0.4749999999999999,,,,,
3614,Manmohan bhatia,2018-12-01,PreCovid,3,5.0,"[[hotel, singapor, 1], [room, indian, 0], [staff, neat, 1], [staff, clean, 1]]",3.0,1.0,,0.12222222222222223,0.0,,,,,
3615,Anelsio Cossa,2018-11-01,PreCovid,3,4.0,"[[place, nice, 1], [room, everywher, 0], [room, singapor, 0], [place, nice, 1]]",2.0,2.0,,0.6,0.0,,,,,
3616,Datteard za,2018-12-01,PreCovid,3,5.0,"[[friendli, nice, 1]]",1.0,,,0.6,,,,,,
3617,vijay. 5428bdjw,2018-12-01,PreCovid,3,5.0,"[[room, swim, 0], [room, good, 0], [size, 'best connect', 0], [area, clean, 4], [area, small, 4], [breakfast, indian, 4]]",,3.0,,,0.5666666666666667,,,,3.0,0.038888888888888896
3618,Noora H,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3619,Maylor E,2018-12-01,PreCovid,3,5.0,"[[place, great, 1], [room, clean, 0], [hotel, much, 1], [time, great, 2]]",2.0,1.0,,0.5,0.3666666666666667,,1.0,0.8,,
3620,Roam467270,2018-12-01,PreCovid,3,4.0,[],,,,,,,,,,
3621,Vivek J,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3622,Ushsl,2018-12-01,PreCovid,3,1.0,"[[day, anoth, 2], [check, consid, 2], [room, serious, 0], [staff, poor, 1], [staff, 'extreamli poor', 1], [staff, english, 1]]",3.0,1.0,,-0.26666666666666666,-0.3333333333333333,,2.0,0.0,,
3623,Savvy 1234,2018-12-01,PreCovid,3,5.0,"[[help, thank, 1], [help, 'much thank', 1]]",2.0,,,0.1,,,,,,
3624,Raunak Sinha,2018-12-01,PreCovid,3,4.0,"[[hotel, good, 1], [pool, good, 4], [pool, swim, 4]]",1.0,,,0.7,,,,,2.0,0.35
3625,BOYAN,2018-12-01,PreCovid,3,5.0,"[[place, nice, 1], [place, great, 1]]",2.0,,,0.7,,,,,,
3626,Suzy,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3627,mdmhasan,2018-11-01,PreCovid,3,4.0,"[[floor, higher, 0], [pool, terrac, 4], [time, great, 2]]",,1.0,,,0.25,,1.0,0.8,1.0,0.0
3628,Tracie M,2018-03-01,PreCovid,3,2.0,"[[hotel, big, 1], [hotel, extra, 1], [floor, next, 0], [floor, worst, 0], [floor, unclean, 0], [shower, clean, 0]]",2.0,4.0,,0.0,-0.15833333333333333,,,,,
3629,Mind Your Style,2018-12-01,PreCovid,3,5.0,"[[staff, great, 1], [staff, good, 1], [pool, neat, 4], [pool, clean, 4], [hotel, good, 1], [hotel, 'also good', 1]]",4.0,,,0.7250000000000001,,,,,2.0,0.18333333333333335
3630,kenzieschultz,2018-12-01,PreCovid,3,5.0,"[[pool, much, 4], [pool, especi, 4]]",,,,,,,,,2.0,0.1
3631,SandyS.,2018-12-01,PreCovid,3,1.0,"[[pool, nice, 4], [pool, big, 4], [food, good, 1], [door, open, 0], [door, close, 0]]",1.0,2.0,,0.7,0.0,,,,2.0,0.3
3632,aryan_kasturi,2018-12-01,PreCovid,3,5.0,"[[staff, good, 1], [staff, tri, 1], [pool, clean, 4], [area, big, 4], [area, 'also big', 4], [space, good, 0], [space, tight, 0], [bed, extra, 0]]",2.0,3.0,,0.35,0.17380952380952377,,,,3.0,0.12222222222222223
3633,shamoon,2018-11-01,PreCovid,3,3.0,"[[check, late, 2]]",,,,,,,1.0,-0.3,,
3634,Compass24009863037,2018-12-01,PreCovid,3,5.0,[],,,,,,,,,,
3635,Relax36220928973,2018-11-01,PreCovid,3,4.0,"[[hotel, neat, 1], [check, nice, 2], [day, last, 2], [room, neat, 0], [pool, big, 4]]",1.0,1.0,,0.0,0.0,,2.0,0.3,1.0,0.0
3636,NorthStar08970500740,2018-12-01,PreCovid,3,5.0,"[[time, first, 2], [room, small, 0], [room, better, 0], [room, new, 0], [bed, extra, 0]]",,4.0,,,0.09659090909090909,,1.0,0.25,,
3637,Voyage64903461120,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3638,Maps06921838966,2018-11-01,PreCovid,3,5.0,"[[room, nice, 0]]",,1.0,,,0.6,,,,,
3639,Happiness40836353872,2018-11-01,PreCovid,3,5.0,"[[hotel, singapor, 1]]",1.0,,,0.0,,,,,,
3640,Nur Alysha Z,2018-12-01,PreCovid,3,5.0,"[[door, standard, 0], [door, servic, 0], [door, open, 0]]",,3.0,,,0.0,,,,,
3641,oranjewhite,2018-11-01,PreCovid,3,3.0,"[[night, everi, 4], [room, excit, 0], [night, everi, 4], [floor, everi, 0]]",,2.0,,,0.0,,,,2.0,0.0
3642,Muhd nur H,2018-11-01,PreCovid,3,5.0,"[[staff, good, 1]]",1.0,,,0.7,,,,,,
3643,Puneet dhawan,2018-11-01,PreCovid,3,4.0,"[[room, good, 0], [room, nice, 0]]",,2.0,,,0.6499999999999999,,,,,
3644,Steven C,2018-11-01,PreCovid,3,5.0,"[[walk, good, 4]]",,,,,,,,,1.0,0.7
3645,ARDG70,2018-11-01,PreCovid,3,3.0,"[[hotel, good, 1], [room, good, 0], [staff, second, 1], [staff, pricey, 1], [help, everi, 1]]",4.0,1.0,,0.175,0.7,,,,,
3646,Vipul,2018-11-01,PreCovid,3,4.0,"[[hotel, good, 1], [stay, indian, 1], [stay, great, 1]]",3.0,,,0.5,,,,,,
3647,H. P.,2018-11-01,PreCovid,3,4.0,"[[night, late, 4], [day, mid, 2]]",,,,,,,1.0,0.0,1.0,-0.3
3648,Mh. Zafar,2018-11-01,PreCovid,3,1.0,"[[room, superior, 0], [room, small, 0], [room, better, 0], [room, extra, 0], [time, sever, 2]]",,4.0,,,0.2375,,1.0,0.0,,
3649,Abhinay K,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3650,SleepingBeauty8000,2018-11-01,PreCovid,3,4.0,"[[room, first, 0], [room, glad, 0], [room, second, 0]]",,3.0,,,0.25,,,,,
3651,Chan331,2018-11-01,PreCovid,3,2.0,"[[room, small, 0], [room, whole, 0], [room, clean, 0], [room, recept, 0], [time, certain, 2]]",,4.0,,,0.07916666666666668,,1.0,0.21428571428571427,,
3652,QueenBeesWax,2018-09-01,PreCovid,3,5.0,"[[room, big, 0], [room, 'almost big', 0], [room, actual, 0], [room, long, 0], [book, present, 2], [food, servic, 1]]",1.0,4.0,,0.0,-0.0125,,1.0,0.0,,
3653,Jeff C,2018-11-01,PreCovid,3,4.0,"[[room, great, 0]]",,1.0,,,0.8,,,,,
3654,Ben HM,2018-11-01,PreCovid,3,4.0,"[[night, extra, 4], [hotel, 'extra thank', 1]]",1.0,,,0.0,,,,,1.0,0.0
3655,Stay24185729280,2018-11-01,PreCovid,3,4.0,[],,,,,,,,,,
3656,ELHV,2018-11-01,PreCovid,3,4.0,"[[room, nice, 0], [pool, nice, 4]]",,1.0,,,0.6,,,,1.0,0.6
3657,TravelwithEB,2018-11-01,PreCovid,3,4.0,"[[breakfast, poor, 4], [staff, pro, 1], [staff, grand, 1], [room, super, 0], [room, clean, 0], [pool, nice, 4], [day, next, 2]]",2.0,2.0,,0.25,0.35,,1.0,0.0,2.0,0.09999999999999998
3658,Arnold curbelo,2018-11-01,PreCovid,3,5.0,"[[time, first, 2]]",,,,,,,1.0,0.25,,
3659,Trima M,2018-11-01,PreCovid,3,5.0,"[[day, singapor, 2], [staff, small, 1], [staff, clean, 1], [help, equal, 1], [thank, singapor, 3]]",3.0,,1.0,0.038888888888888896,,0.0,1.0,0.0,,
3660,Mobile65233869857,2018-11-01,PreCovid,3,5.0,"[[room, nice, 0], [hotel, good, 1]]",1.0,1.0,,0.7,0.6,,,,,
3661,ejphilip,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3662,Alex L,2018-11-01,PreCovid,3,3.0,"[[room, good, 0], [room, small, 0], [book, last, 2]]",,2.0,,,0.22499999999999998,,1.0,0.0,,
3663,joohi k,2017-12-01,PreCovid,3,1.0,"[[bathroom, small, 0], [bathroom, smaller, 0]]",,2.0,,,-0.125,,,,,
3664,TripTheLightFantast,2018-11-01,PreCovid,3,1.0,"[[night, first, 4], [night, second, 4], [room, total, 0], [room, fail, 0], [call, second, 3], [day, clean, 2]]",,2.0,1.0,,-0.25,0.0,1.0,0.3666666666666667,2.0,0.125
3665,GAWinHK,2018-11-01,PreCovid,3,4.0,"[[staff, good, 1]]",1.0,,,0.7,,,,,,
3666,Odyssey07719969622,2018-11-01,PreCovid,3,5.0,"[[breakfast, indian, 4]]",,,,,,,,,1.0,0.0
3667,Nishir,2018-11-01,PreCovid,3,5.0,"[[room, good, 0], [room, small, 0], [room, typic, 0], [room, singapor, 0]]",,4.0,,,0.11249999999999999,,,,,
3668,Abhishek M,2018-11-01,PreCovid,3,5.0,"[[room, good, 0], [hotel, good, 1], [hotel, servic, 1]]",2.0,1.0,,0.35,0.7,,,,,
3669,Lab Series 99,2018-11-01,PreCovid,3,4.0,"[[staff, real, 1], [staff, good, 1], [staff, dedic, 1], [hotel, wrong, 1], [night, passabl, 4], [day, next, 2], [room, bigger, 0], [time, singapor, 2], [time, first, 2]]",4.0,1.0,,0.09999999999999998,0.0,,3.0,0.08333333333333333,1.0,0.0
3670,Iszra M,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3671,roshan1232016,2018-10-01,PreCovid,3,4.0,"[[hotel, dark, 1]]",1.0,,,-0.15,,,,,,
3672,Aditya S,2018-11-01,PreCovid,3,5.0,"[[hotel, calm, 1], [hotel, patienc, 1]]",2.0,,,0.15000000000000002,,,,,,
3673,Audi,2018-11-01,PreCovid,3,5.0,"[[room, clean, 0], [floor, first, 0]]",,2.0,,,0.30833333333333335,,,,,
3674,Jignesh M,2018-10-01,PreCovid,3,3.0,"[[breakfast, luggag, 4], [food, good, 1]]",1.0,,,0.7,,,,,1.0,0.0
3675,J. Gopal Rao,2018-11-01,PreCovid,3,3.0,"[[room, bare, 0], [room, enough, 0]]",,2.0,,,0.025,,,,,
3676,Vacation46828638517,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3677,Dr H C Agrawal,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3678,Jet45713646572,2018-11-01,PreCovid,3,5.0,"[[room, good, 0]]",,1.0,,,0.7,,,,,
3679,Flyer09073051188,2018-11-01,PreCovid,3,5.0,"[[day, nice, 2], [day, singapor, 2]]",,,,,,,2.0,0.3,,
3680,Safari51933582084,2018-11-01,PreCovid,3,5.0,"[[room, small, 0]]",,1.0,,,-0.25,,,,,
3681,Jet66813909447,2018-11-01,PreCovid,3,5.0,"[[time, next, 2]]",,,,,,,1.0,0.0,,
3682,Venture38979861778,2018-11-01,PreCovid,3,4.0,"[[room, interior, 0], [room, small, 0], [room, whole, 0], [pool, nice, 4], [pool, huge, 4], [room, nice, 0]]",,4.0,,,0.1375,,,,2.0,0.5
3683,Jay O’hart,2018-04-01,PreCovid,3,4.0,"[[stay, nice, 1], [breakfast, nice, 4], [staff, great, 1], [pool, swim, 4]]",2.0,,,0.7,,,,,2.0,0.3
3684,Meander24935730824,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3685,Venture826935,2018-10-01,PreCovid,3,4.0,"[[room, small, 0]]",,1.0,,,-0.25,,,,,
3686,NorthStar46248061827,2018-11-01,PreCovid,3,5.0,"[[room, good, 0], [hotel, servic, 1], [time, next, 2], [help, great, 1], [staff, becous, 1]]",3.0,1.0,,0.26666666666666666,0.7,,1.0,0.0,,
3687,Cruiser27060718488,2018-11-01,PreCovid,3,5.0,"[[stay, short, 1], [time, next, 2]]",1.0,,,0.0,,,1.0,0.0,,
3688,Stay53355307344,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3689,ge0_05081997,2018-09-01,PreCovid,3,5.0,"[[pool, great, 4], [room, small, 0], [room, small, 0], [room, obvious, 0], [room, bigger, 0]]",,4.0,,,-0.125,,,,1.0,0.8
3690,Freedom20965861959,2018-11-01,PreCovid,3,4.0,"[[room, good, 0], [hotel, good, 1]]",1.0,1.0,,0.7,0.7,,,,,
3691,Shahnewaz P,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3692,Relax14827059554,2018-11-01,PreCovid,3,5.0,"[[room, small, 0]]",,1.0,,,-0.25,,,,,
3693,Sightseer38545890766,2018-11-01,PreCovid,3,5.0,"[[room, current, 0], [breakfast, good, 4]]",,1.0,,,0.0,,,,1.0,0.7
3694,J4035AZsimons,2018-11-01,PreCovid,3,4.0,"[[water, hot, 0], [room, basic, 0], [door, next, 0]]",,3.0,,,0.08333333333333333,,,,,
3695,Gerly Q,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3696,Cruz A,2018-10-01,PreCovid,3,3.0,"[[room, 'first hotel', 0], [room, open, 0], [hotel, smaller, 1], [hotel, 'somehow smaller', 1], [room, elderli, 0]]",2.0,3.0,,0.0,0.08333333333333333,,,,,
3697,庆明 芦,2018-11-01,PreCovid,3,5.0,"[[room, kind, 0], [time, next, 2]]",,1.0,,,0.6,,1.0,0.0,,
3698,Roam34204760590,2018-11-01,PreCovid,3,5.0,"[[check, free, 2]]",,,,,,,1.0,0.4,,
3699,Adventure33052915522,2018-11-01,PreCovid,3,5.0,[],,,,,,,,,,
3700,Sightseer50861089600,2018-11-01,PreCovid,3,5.0,"[[staff, super, 1], [staff, clean, 1]]",2.0,,,0.35,,,,,,
3701,Culture29921900189,2018-11-01,PreCovid,3,5.0,"[[time, nice, 2]]",,,,,,,1.0,0.6,,
3702,Roving05019516900,2018-11-01,PreCovid,3,5.0,"[[breakfast, servic, 4], [room, nice, 0], [room, free, 0]]",,2.0,,,0.5,,,,1.0,0.0
3703,Escape32739059513,2018-11-01,PreCovid,3,5.0,"[[time, nice, 2]]",,,,,,,1.0,0.6,,
