,0,1,2,3,4,5
0,hotel,hotel,staff,food,stay,room
1,check,view,us,tea,hotel,good
2,room,shop,thank,good,room,bed
3,time,great,stay,great,view,hotel
4,get,bay,help,afternoon,great,nice
5,one,pool,tower,dinner,pool,view
6,stay,room,hotel,restaur,staff,bathroom
7,book,stay,special,buffet,night,floor
8,pool,mall,made,excel,club,breakfast
9,us,walk,make,staff,floor,stay
10,would,good,birthday,nice,breakfast,clean
11,go,restaur,check,recommend,bay,shower
12,even,place,team,enjoy,love,comfort
13,wait,garden,great,lunch,would,pool
14,day,food,like,love,best,well
15,guest,sand,back,dine,excel,area
16,night,nice,guest,swiss,one,also
17,ask,also,feel,attent,time,big
18,like,area,alway,select,fantast,great
19,could,station,wonder,drink,worth,bit
