,0,1,2,3,4,5
0,room,hotel,hotel,room,hotel,hotel
1,check,quay,great,bathroom,staff,airport
2,book,clark,stay,bed,stay,room
3,us,walk,room,good,us,stay
4,time,good,pool,shower,thank,flight
5,hotel,great,staff,nice,help,termin
6,club,shop,good,hotel,great,night
7,stay,restaur,nice,pool,make,check
8,even,close,breakfast,like,alway,one
9,day,station,love,water,like,plaza
10,get,food,excel,small,excel,walk
11,ask,also,clean,floor,time,get
12,call,room,comfort,clean,special,comfort
13,drink,area,help,area,best,transit
14,staff,stay,would,bit,made,good
15,breakfast,near,food,bath,wonder,hour
16,one,free,recommend,open,guest,well
17,night,staff,well,view,back,overnight
18,would,bu,enjoy,size,birthday,long
19,could,road,restaur,window,well,next
